ID,Nombre,Categoria,Precio_Normal,Precio_Mayoreo,Precio_Caja,Piezas_Por_Caja,Imagen_URL,Etiqueta,Descripcion
bc1,Bolsa de Mano Premium Elegante,bolsas-carteras,280,180,140,12,https://lh3.googleusercontent.com/pw/AP1GczPrBNH2gRxUrfHs8s0nK_2yncDetmUtk39oRVi4q3OZPcdtEOWxWmiZv6nKKHruwVkOi3_GvREFzF49xdVy9ELrdoe63KOYLkXg0ziTLLvC2h2CMxE,Contenedor,Bolsa de mano de tactopiel de alta resistencia con cierres y herrajes dorados reforzados.
bc2,Cartera de Dama Minimalista,bolsas-carteras,120,65,48,24,https://lh3.googleusercontent.com/pw/AP1GczOEnG_IJApaPLGgmjjvhJACli9SW-tRPAVre72l_EMvt7YR0W0mAo-vVbpSN9y1cl_R7G3x8l8QkIYK56g0Yjq3GkEHOTDvesJtIgq0fjhtTYV_-tc,Oferta,Cartera de mano ultra compacta con multiples tarjeteros monedero con cierre y diseno elegante.
bc3,Bolsa Mochila 2 en 1 Multifuncional,bolsas-carteras,250,150,110,12,https://lh3.googleusercontent.com/pw/AP1GczNN9WkFGc7c_nyrHDyR_CpYZs199udTaD39fNbcrdlh3zb6Piq0DylDMLzjHTl43ni4gkksSWU8ThcG3acqKQo3w-V2moWMEyJNFxUvwSKvIn2VkFM,Mas Vendido,Bolsa convertible a mochila escolar o de viaje diseno impermeable de nylon suave.
bc4,Cartera de Caballero en Piel Sintetica,bolsas-carteras,90,45,32,30,https://lh3.googleusercontent.com/pw/AP1GczMLxQ2lgE2p5OU-abzJmaniire97gCpTUDHmhNo5cIpx_Fj0wY_1Z9_BsJooWhdHyn4Y9nbRrC3nwIFxNnRcc8gDekgTWHs0znp2u6E95eGhgQwQWA,Oferta,Cartera clasica para caballero ranuras para tarjetas multiples y proteccion RFID anti-clonado.
bc5,Bolsa Tote Casual de Algodon,bolsas-carteras,180,110,85,15,https://lh3.googleusercontent.com/pw/AP1GczMj37B6yCPFTmC1dUOyG-XNw_sFrB0dYa4I2SO48SouwCi4SvHOpqeVbMZUpITXdtATQ5WcvMDsZfvVutGOQri7wFJd06zj7VPKEGNi2p1e1OLn6Ew,Novedad,Bolsa tipo Tote ideal para playa compras o salidas casuales. Tela ultra lavable y resistente.
bc6,Bandolera Juvenil de Moda,bolsas-carteras,210,130,95,12,https://lh3.googleusercontent.com/pw/AP1GczOcc9XJOpftOAiOqACL0O4AdH9vLUN7dmu8uB_5suiOJSP0djLFoGkEbs-AewgRD9TlWD7RgVrbkraflZK5x4T8BUBfSIEnT7rEtrzX5d4v-pIi4xA,Tendencia,Bolsa bandolera cruzada con correa ajustable estampada compartimento con cierre suave.
bc7,Cartera Monedero con Cierre de Boton,bolsas-carteras,100,55,40,24,https://lh3.googleusercontent.com/pw/AP1GczM4Mnl4PtUnrPolIfPzBXozTsBfmoANbuZuie_XiPUiXIH9juJsgUQc5NOOVpCinGsSRlnVVl9Rf8wv-RyfTd5LSGYEhl5etehucK2mUscmHMRd5LM,Oferta,Cartera monedero compacta con costuras reforzadas boton metalico y diseno elegante.
bc8,Bolsa de Hombro Texturizada,bolsas-carteras,290,190,145,10,https://lh3.googleusercontent.com/pw/AP1GczNDS7gL1qIQZ_Pz5aJeziWAXOX1AfERRDNEOYw1Lyw2ngMFpELHv2CJ1Cc7fRfrgeUR3WRdweNVz6Ed2zDMmxkxrqDKVnvqguwWiz0TwQecMT7r-lM,Importacion,Bolsa de hombro de tactopiel grabada con patrones geometricos y doble compartimento.
bc9,Neceser de Viaje para Maquillaje,bolsas-carteras,140,80,60,20,https://lh3.googleusercontent.com/pw/AP1GczP0ck5zezBnrbSSITjKiWrB8vxYEKNjhWep5piyc0sC3IYLOn8ZXMiH1kzXNDrrMpbsVNs0n_Md8FzaOxO19yg3zebB1-z5nLRaNrqUvx2DQY6VYyE,Organizador,Neceser impermeable de viaje con ganchos para colgar y compartimentos de red transparentes.
bc10,Bolsa Clutch de Noche con Cadena,bolsas-carteras,230,140,105,12,https://lh3.googleusercontent.com/pw/AP1GczNt8Oo4lZCz60E_-GREGBSGBfEgcTOqw1rh1PbGO6ITfaoBsT8eNuKlNOtYgjqt3uLQAUIPEcTURrXOvp6DjDUbyB_d8IXSRRKmn31_hmMD2iMJaQk,Elegante,Bolso de mano tipo clutch para eventos de noche con cadena dorada desmontable.
